ROW,YEAR,species,CAPDATE,juldate,PERIOD,missing_data,BAND,sex,age,how_sexed,CAPSITE,ver_hab,USE_HAB,hematocrit,T,T_SQRT,T_Log,USE_T,CAPTIME,StdJulDep,Time2Dep,mass,fat,CAPBM,WING,tarsus,TAIL,BANDER,BLOOD_TIME,HEM,TOTAL,bs1,bs7,bs14,bs30,BR1,BR7,BR14,BR30
1755,2010,AMRE,3/20/10,79,3,Y,255040110,F,ASY,PLUM,MII,L,Y,0.5,,,, ,710,NA,,6.2,1,2,58,15.83,56.5,MAT,4,24.41,48.73,0,0,0,30.5,0,0,0,4
1885,2010,AMRE,3/28/10,87,3,,257044316,M,SY,PLUM,MII,U,N,0.45,269.23,16.41,2.43,Y,855,126,39,6.8,0,1,60.5,16.32,58.5,NWC,2,30.17,67.68,0,0,0,0,0,0.5,0.5,4.5
1879,2010,AMRE,3/28/10,87,3,,253012337,M,ASY,PLUM,LII,U,N,0.47,274.7,16.57,2.44,Y,830,NA,,6.7,0,1,59,16.93,55,MAT,5,31.45,66.34,0,0,0,0,0,0.5,0.5,4.5
1875,2010,AMRE,3/27/10,86,3,,255039428,M,ASY,PLUM,MII,M,Y,0.46,315.41,17.76,2.5,Y,1105,117,31,6.4,1,1,62.5,16.28,55,NWC,5,28.77,62.51,0,0,0,30.5,0.5,0.5,0.5,4.5
1868,2010,AMRE,3/27/10,86,3,,257044503,M,SY,PLUM,MI,U,N,0.46,472.78,21.74,2.67,Y,940,NA,,6.5,0,1,60,16.63,57,CMT,4,27.06,58.38,0,0,0,30.5,0.5,0.5,0.5,4.5
1872,2010,AMRE,3/27/10,86,3,,255039444,M,ASY,PLUM,MII,F,N,0.44,824,28.71,2.92,Y,650,NA,,6.6,1,1,61,17.18,56,NWC,5,13.83,31.33,0,0,0,30.5,0.5,0.5,0.5,4.5
1854,2010,AMRE,3/26/10,85,3,Y,257044361,F,ASY,PLUM,LII,L,Y,0.41,,,, ,1240,NA,,7,1,2,59,16.89,53.5,MAT,5,19.1,46.77,0,0,0,30.5,0,0.5,0.5,4.5
1859,2010,AMRE,3/27/10,86,3,Y,255040101,F,ASY,PLUM,LII,U,N,0.42,,,, ,720,NA,,6.2,0,1,56,16.8,51,MAT,5,15.18,35.92,0,0,0,30.5,0.5,0.5,0.5,4.5
1851,2010,AMRE,3/26/10,85,3,Y,231031548,F,ASY,PLUM,LII,L,Y,0.43,,,, ,1050,NA,,5.9,0,1,59,17.1,52,MAT,5,24.46,56.93,0,0,0,30.5,0,0.5,0.5,4.5
1893,2010,AMRE,3/28/10,87,3,Y,257044507,F,SY,PLUM,LI,U,N,0.43,,,, ,815,NA,,6.1,1,1,57,16.41,53.5,CMT,1,27.65,64.45,0,0,0,0,0,0.5,0.5,4.5
